age,job,marital,education,balance,housing,loan,contact,duration,pdays,previous,poutcome,contact_date,customer_value_score,estimated_income,age_bin,previous_bin
48,services,divorced,secondary,852,1,1,unknown,5.313205979041787,-1,0,other,7-may,852,17852,Middle-aged (31-50),none
43,management,divorced,tertiary,0,1,0,unknown,4.820281565605037,-1,0,other,8-may,0,28000,Middle-aged (31-50),none
37,services,single,tertiary,718,0,0,unknown,3.784189633918261,-1,0,other,17-jun,718,18718,Middle-aged (31-50),none
45,technician,married,secondary,49,0,0,cellular,4.189654742026425,-1,0,other,29-jul,49,22049,Middle-aged (31-50),none
52,services,married,secondary,627,0,0,cellular,5.1647859739235145,-1,0,other,29-aug,627,17627,Senior (51-70),none
27,admin.,married,tertiary,2855,0,0,cellular,4.9344739331306915,178,4,success,22-jul,14275,25855,Young (18-30),medium
24,student,single,secondary,228,0,0,cellular,4.605170185988092,79,1,failure,20-aug,456,7228,Young (18-30),low
36,technician,married,secondary,4613,0,0,cellular,5.337538079701318,-1,0,other,19-nov,4613,26613,Middle-aged (31-50),none
31,management,married,tertiary,3,0,0,cellular,2.5649493574615367,-1,0,other,28-aug,3,28003,Middle-aged (31-50),none
31,technician,married,secondary,141,1,0,unknown,4.948759890378168,-1,0,other,21-may,141,22141,Middle-aged (31-50),none
33,management,divorced,tertiary,802,0,0,cellular,5.996452088619021,-1,0,other,6-feb,802,28802,Middle-aged (31-50),none
29,technician,single,secondary,-496,1,1,cellular,6.0473721790462776,-1,0,other,22-jul,-496,21504,Young (18-30),none
28,blue-collar,married,secondary,214,1,1,cellular,5.808142489980444,-1,0,other,24-jul,214,17214,Young (18-30),none
80,retired,married,primary,594,0,0,telephone,4.859812404361672,-1,0,other,10-may,594,11594,Elderly (71+),none
49,admin.,divorced,primary,-347,1,0,unknown,5.303304908059076,-1,0,other,26-may,-347,20653,Middle-aged (31-50),none
39,services,single,secondary,3,0,1,unknown,5.332718793265369,-1,0,other,3-jul,3,17003,Middle-aged (31-50),none
33,entrepreneur,married,secondary,137,1,0,cellular,4.919980925828125,-1,0,other,15-jul,137,22137,Middle-aged (31-50),none
49,blue-collar,married,secondary,1568,0,0,unknown,5.332718793265369,-1,0,other,21-may,1568,18568,Middle-aged (31-50),none
39,services,single,secondary,158,1,0,cellular,5.214935757608986,168,2,failure,21-nov,474,17158,Middle-aged (31-50),low
50,blue-collar,divorced,primary,5,0,0,cellular,4.77912349311153,-1,0,other,7-jul,5,16005,Middle-aged (31-50),none
31,admin.,married,secondary,734,0,0,cellular,5.278114659230517,-1,0,other,26-aug,734,22734,Middle-aged (31-50),none
52,blue-collar,married,secondary,1797,1,0,cellular,4.532599493153256,99,1,failure,27-nov,3594,18797,Senior (51-70),low
35,admin.,divorced,secondary,-218,0,1,cellular,4.820281565605037,-1,0,other,31-jul,-218,21782,Middle-aged (31-50),none
36,blue-collar,married,secondary,330,1,0,cellular,6.656726524178391,-1,0,other,13-may,330,17330,Middle-aged (31-50),none
45,technician,married,secondary,983,1,0,cellular,5.049856007249537,-1,0,other,7-aug,983,22983,Middle-aged (31-50),none
34,management,divorced,tertiary,2885,0,0,cellular,5.752572638825633,156,4,other,10-feb,14425,30885,Middle-aged (31-50),medium
44,unemployed,married,secondary,6178,0,0,cellular,5.365976015021851,-1,0,other,3-feb,6178,13178,Middle-aged (31-50),none
43,management,married,tertiary,46,0,0,cellular,4.1588830833596715,-1,0,other,27-aug,46,28046,Middle-aged (31-50),none
49,admin.,divorced,secondary,1320,0,0,cellular,4.867534450455582,-1,0,other,21-nov,1320,23320,Middle-aged (31-50),none
27,admin.,single,secondary,3776,1,0,unknown,5.384495062789089,-1,0,other,19-may,3776,25776,Young (18-30),none
41,management,married,tertiary,23,0,0,cellular,4.394449154672439,-1,0,other,22-aug,23,28023,Middle-aged (31-50),none
25,management,single,tertiary,2305,0,0,cellular,5.407171771460119,104,2,failure,12-aug,6915,30305,Young (18-30),low
40,technician,married,primary,164,1,0,unknown,5.988961416889864,-1,0,other,7-may,164,21164,Middle-aged (31-50),none
40,technician,married,secondary,214,0,0,cellular,4.0943445622221,-1,0,other,25-aug,214,22214,Middle-aged (31-50),none
26,blue-collar,married,primary,-219,1,1,unknown,5.7430031878094825,-1,0,other,15-may,-219,15781,Young (18-30),none
41,blue-collar,married,primary,406,1,0,unknown,7.809135398120538,-1,0,other,9-may,406,16406,Middle-aged (31-50),none
50,management,married,tertiary,398,0,0,telephone,7.357556200910353,-1,0,other,30-jul,398,28398,Middle-aged (31-50),none
31,technician,single,secondary,691,1,0,cellular,5.293304824724492,-1,0,other,8-may,691,22691,Middle-aged (31-50),none
35,unemployed,married,secondary,978,0,0,cellular,6.493753839851686,182,6,success,29-jun,6846,7978,Middle-aged (31-50),high
31,management,married,secondary,89,1,0,unknown,5.123963979403259,-1,0,other,26-may,89,27089,Middle-aged (31-50),none
29,technician,single,tertiary,48,1,0,cellular,5.10594547390058,-1,0,other,23-jul,48,23048,Young (18-30),none
31,management,single,tertiary,2336,0,0,cellular,5.41610040220442,-1,0,other,17-jul,2336,30336,Middle-aged (31-50),none
43,self-employed,married,secondary,274,0,0,cellular,5.817111159963204,-1,0,other,14-jul,274,22274,Middle-aged (31-50),none
50,blue-collar,married,primary,0,0,0,cellular,5.641907070938114,191,2,failure,21-nov,0,16000,Middle-aged (31-50),low
38,services,married,secondary,741,1,0,cellular,5.8971538676367405,343,2,failure,11-may,2223,17741,Middle-aged (31-50),low
54,management,married,tertiary,1014,0,1,cellular,5.484796933490655,162,2,failure,30-apr,3042,29014,Senior (51-70),low
43,management,married,secondary,392,0,0,unknown,5.808142489980444,-1,0,other,17-jun,392,27392,Middle-aged (31-50),none
37,blue-collar,married,primary,2240,1,0,unknown,5.3706380281276624,-1,0,other,20-may,2240,18240,Middle-aged (31-50),none
32,management,single,tertiary,715,0,0,cellular,5.075173815233827,-1,0,other,11-aug,715,28715,Middle-aged (31-50),none
45,management,single,tertiary,5694,1,0,unknown,5.3706380281276624,-1,0,other,9-may,5694,33694,Middle-aged (31-50),none
49,technician,single,secondary,3972,0,0,cellular,3.6375861597263857,-1,0,other,19-nov,3972,25972,Middle-aged (31-50),none
30,admin.,married,secondary,11,1,0,cellular,5.062595033026967,-1,0,other,11-may,11,22011,Young (18-30),none
33,admin.,married,secondary,347,1,0,cellular,2.0794415416798357,193,13,failure,9-feb,4858,22347,Middle-aged (31-50),high
30,management,single,tertiary,264,1,0,cellular,3.6109179126442243,370,2,other,18-may,792,28264,Young (18-30),low
27,management,single,tertiary,12956,1,0,unknown,6.672032945461067,-1,0,other,29-may,12956,40956,Young (18-30),none
34,management,married,tertiary,47,0,0,cellular,5.501258210544727,-1,0,other,26-may,47,28047,Middle-aged (31-50),none
37,blue-collar,married,primary,213,0,1,unknown,5.780743515792329,-1,0,other,5-jun,213,16213,Middle-aged (31-50),none
38,unemployed,married,tertiary,2012,0,0,cellular,5.87493073085203,-1,0,other,7-apr,2012,10012,Middle-aged (31-50),none
42,self-employed,married,tertiary,1202,0,0,unknown,3.713572066704308,-1,0,other,11-jun,1202,24202,Middle-aged (31-50),none
39,technician,single,secondary,-529,1,0,cellular,2.9444389791664403,-1,0,other,21-nov,-529,21471,Middle-aged (31-50),none
26,blue-collar,single,secondary,18,1,0,cellular,6.363028103540465,-1,0,other,28-jul,18,17018,Young (18-30),none
40,management,single,tertiary,406,1,0,cellular,4.875197323201151,371,1,failure,13-may,812,28406,Middle-aged (31-50),low
31,blue-collar,single,primary,817,1,0,cellular,5.081404364984463,-1,0,other,17-apr,817,16817,Middle-aged (31-50),none
42,self-employed,married,secondary,399,0,0,cellular,5.6937321388027,-1,0,other,28-jan,399,22399,Middle-aged (31-50),none
32,unemployed,single,tertiary,1974,0,0,cellular,6.654152520183219,-1,0,other,4-feb,1974,9974,Middle-aged (31-50),none
36,housemaid,divorced,secondary,181,1,0,cellular,5.872117789475416,-1,0,other,18-jul,181,12181,Middle-aged (31-50),none
40,blue-collar,married,secondary,679,1,0,cellular,6.466144724237619,304,1,failure,17-apr,1358,17679,Middle-aged (31-50),low
95,retired,divorced,primary,2282,0,0,telephone,5.337538079701318,-1,0,other,21-apr,2282,13282,Elderly (71+),none
37,unemployed,single,tertiary,1032,0,0,telephone,4.1588830833596715,-1,0,other,4-feb,1032,9032,Middle-aged (31-50),none
38,technician,married,secondary,0,0,0,cellular,5.176149732573829,-1,0,other,28-aug,0,22000,Middle-aged (31-50),none
46,blue-collar,married,secondary,229,1,0,cellular,5.2574953720277815,-1,0,other,17-apr,229,17229,Middle-aged (31-50),none
46,management,married,tertiary,-591,0,0,cellular,4.844187086458591,-1,0,other,9-jul,-591,27409,Middle-aged (31-50),none
29,admin.,single,secondary,171,1,0,unknown,4.430816798843313,-1,0,other,11-jun,171,22171,Young (18-30),none
54,blue-collar,married,primary,1059,0,0,cellular,4.30406509320417,-1,0,other,29-aug,1059,17059,Senior (51-70),none
52,admin.,divorced,secondary,363,1,0,cellular,5.1298987149230735,462,1,success,21-aug,726,22363,Senior (51-70),low
51,management,divorced,tertiary,311,0,0,telephone,4.812184355372417,-1,0,other,14-aug,311,28311,Senior (51-70),none
33,unemployed,divorced,secondary,385,0,0,telephone,3.4011973816621555,-1,0,other,27-aug,385,7385,Middle-aged (31-50),none
43,blue-collar,married,primary,547,0,1,unknown,4.574710978503383,-1,0,other,9-jun,547,16547,Middle-aged (31-50),none
55,blue-collar,married,primary,158,1,0,unknown,5.176149732573829,-1,0,other,15-may,158,16158,Senior (51-70),none
45,blue-collar,married,secondary,3037,0,0,unknown,4.110873864173311,-1,0,other,16-jun,3037,20037,Middle-aged (31-50),none
29,management,single,tertiary,600,1,0,cellular,5.14166355650266,-1,0,other,18-oct,600,28600,Young (18-30),none
43,entrepreneur,married,secondary,1109,1,0,cellular,4.174387269895637,-1,0,other,6-aug,1109,23109,Middle-aged (31-50),none
31,technician,single,tertiary,-1,0,0,cellular,4.770684624465665,-1,0,other,21-aug,-1,22999,Middle-aged (31-50),none
27,entrepreneur,single,tertiary,0,1,0,unknown,4.6443908991413725,-1,0,other,4-jun,0,23000,Young (18-30),none
47,self-employed,married,secondary,3279,0,0,cellular,5.247024072160486,-1,0,other,21-aug,3279,25279,Middle-aged (31-50),none
45,services,married,secondary,0,1,1,unknown,5.594711379601839,-1,0,other,23-may,0,17000,Middle-aged (31-50),none
36,blue-collar,married,secondary,362,1,0,unknown,5.616771097666572,-1,0,other,20-may,362,17362,Middle-aged (31-50),none
53,admin.,married,secondary,614,1,0,unknown,4.844187086458591,-1,0,other,28-may,614,22614,Senior (51-70),none
27,student,single,secondary,2015,0,0,cellular,4.477336814478207,245,1,other,25-jan,4030,9015,Young (18-30),low
46,admin.,married,secondary,368,0,0,cellular,5.683579767338681,90,4,other,20-aug,1840,22368,Middle-aged (31-50),medium
32,unemployed,married,tertiary,1,0,0,cellular,6.1092475827643655,-1,0,other,25-jul,1,8001,Middle-aged (31-50),none
39,services,married,secondary,1205,1,0,unknown,4.77912349311153,-1,0,other,6-may,1205,18205,Middle-aged (31-50),none
29,self-employed,married,secondary,-76,1,0,unknown,5.723585101952381,-1,0,other,27-may,-76,21924,Young (18-30),none
53,unemployed,single,secondary,4,0,0,cellular,5.560681631015528,-1,0,other,30-jul,4,7004,Senior (51-70),none
21,blue-collar,single,secondary,1385,1,0,cellular,2.5649493574615367,-1,0,other,20-apr,1385,18385,Young (18-30),none
30,management,single,tertiary,398,0,0,cellular,6.318968113746434,6,2,success,30-apr,1194,28398,Young (18-30),low
19,student,single,secondary,372,0,0,telephone,6.09807428216624,-1,0,other,8-jul,372,7372,Young (18-30),none
42,management,single,tertiary,515,1,0,cellular,6.218600119691729,-1,0,other,19-nov,515,28515,Middle-aged (31-50),none
37,admin.,married,secondary,55,1,1,cellular,4.605170185988092,329,4,other,27-apr,275,22055,Middle-aged (31-50),medium
54,housemaid,married,primary,179,0,0,cellular,4.890349128221754,-1,0,other,22-aug,179,11179,Senior (51-70),none
31,blue-collar,married,secondary,873,1,0,unknown,4.983606621708336,-1,0,other,23-may,873,17873,Middle-aged (31-50),none
33,technician,single,secondary,-363,1,0,cellular,5.3706380281276624,-1,0,other,18-may,-363,21637,Middle-aged (31-50),none
36,technician,single,secondary,0,0,0,cellular,3.091042453358316,-1,0,other,29-aug,0,22000,Middle-aged (31-50),none
34,management,married,secondary,5127,0,1,cellular,6.327936783729195,-1,0,other,10-jul,5127,32127,Middle-aged (31-50),none
24,student,single,tertiary,235,0,0,cellular,4.59511985013459,92,1,success,9-feb,470,8235,Young (18-30),low
32,management,single,tertiary,-252,1,0,cellular,5.5254529391317835,-1,0,other,15-may,-252,27748,Middle-aged (31-50),none
37,technician,married,secondary,448,0,0,cellular,4.465908118654584,-1,0,other,14-aug,448,22448,Middle-aged (31-50),none
48,retired,single,primary,0,0,0,unknown,2.302585092994046,-1,0,other,20-jun,0,11000,Middle-aged (31-50),none
29,self-employed,single,tertiary,805,0,0,cellular,4.890349128221754,103,7,failure,23-feb,6440,23805,Young (18-30),high
22,student,single,secondary,252,1,0,cellular,5.332718793265369,-1,0,other,7-may,252,7252,Young (18-30),none
31,management,married,tertiary,-181,1,0,cellular,4.852030263919617,170,2,failure,8-may,-543,27819,Middle-aged (31-50),low
32,blue-collar,single,secondary,574,1,0,cellular,3.9512437185814275,-1,0,other,15-may,574,17574,Middle-aged (31-50),none
33,technician,married,secondary,168,1,0,unknown,5.476463551931511,-1,0,other,26-may,168,22168,Middle-aged (31-50),none
45,blue-collar,married,primary,5461,1,0,cellular,6.7357800142423265,-1,0,other,20-nov,5461,21461,Middle-aged (31-50),none
51,services,married,secondary,121,1,0,cellular,4.812184355372417,-1,0,other,10-jul,121,17121,Senior (51-70),none
59,management,divorced,tertiary,0,0,0,telephone,5.2832037287379885,-1,0,other,30-jul,0,28000,Senior (51-70),none
30,services,married,secondary,384,1,0,unknown,3.332204510175204,-1,0,other,16-jun,384,17384,Young (18-30),none
31,blue-collar,married,secondary,2289,1,1,cellular,4.382026634673881,151,1,failure,20-apr,4578,19289,Middle-aged (31-50),low
31,management,married,tertiary,315,0,0,cellular,4.700480365792417,-1,0,other,29-aug,315,28315,Middle-aged (31-50),none
33,admin.,single,secondary,901,0,0,cellular,2.9444389791664403,6,3,other,3-feb,3604,22901,Middle-aged (31-50),medium
27,student,single,secondary,81,1,0,unknown,5.476463551931511,-1,0,other,8-may,81,7081,Young (18-30),none
43,management,married,tertiary,15423,1,1,cellular,5.14166355650266,-1,0,other,21-nov,15423,43423,Middle-aged (31-50),none
43,blue-collar,married,secondary,1335,1,0,unknown,5.918893854273146,-1,0,other,6-may,1335,18335,Middle-aged (31-50),none
32,management,single,tertiary,6542,1,0,cellular,7.377133712833954,175,5,failure,15-may,39252,34542,Middle-aged (31-50),medium
36,blue-collar,married,primary,0,1,0,cellular,2.1972245773362196,-1,0,other,18-may,0,16000,Middle-aged (31-50),none
75,retired,married,tertiary,4912,0,0,telephone,5.476463551931511,183,5,failure,20-oct,29472,17912,Elderly (71+),medium
40,admin.,married,secondary,35,0,0,unknown,4.3694478524670215,-1,0,other,17-jun,35,22035,Middle-aged (31-50),none
56,technician,married,secondary,124,1,0,cellular,5.834810737062605,-1,0,other,28-jul,124,22124,Senior (51-70),none
31,blue-collar,married,secondary,-110,1,0,unknown,6.089044875446846,-1,0,other,26-may,-110,16890,Middle-aged (31-50),none
42,blue-collar,divorced,primary,145,0,1,unknown,3.332204510175204,-1,0,other,30-jun,145,16145,Middle-aged (31-50),none
54,self-employed,married,secondary,2191,1,0,telephone,4.574710978503383,-1,0,other,31-jul,2191,24191,Senior (51-70),none
73,retired,married,primary,508,0,0,cellular,5.176149732573829,-1,0,other,9-mar,508,11508,Elderly (71+),none
77,retired,married,tertiary,0,0,0,cellular,6.742880635791903,60,1,success,16-oct,0,13000,Elderly (71+),low
34,blue-collar,married,primary,109,1,0,cellular,6.530877627725885,-1,0,other,14-may,109,16109,Middle-aged (31-50),none
44,technician,married,secondary,267,0,0,cellular,6.255750041753367,-1,0,other,22-aug,267,22267,Middle-aged (31-50),none
33,technician,single,tertiary,989,1,1,unknown,5.4510384535657,-1,0,other,13-may,989,23989,Middle-aged (31-50),none
33,management,single,tertiary,432,0,0,telephone,6.3784261836515865,-1,0,other,20-aug,432,28432,Middle-aged (31-50),none
45,technician,married,secondary,1786,1,1,telephone,4.3694478524670215,-1,0,other,15-jul,1786,23786,Middle-aged (31-50),none
30,services,single,secondary,248,1,0,cellular,4.477336814478207,-1,0,other,13-may,248,17248,Young (18-30),none
41,management,married,tertiary,217,0,0,cellular,5.796057750765372,-1,0,other,19-nov,217,28217,Middle-aged (31-50),none
57,blue-collar,married,secondary,4597,1,0,cellular,5.14166355650266,-1,0,other,14-aug,4597,21597,Senior (51-70),none
38,entrepreneur,married,tertiary,83,1,0,cellular,4.6913478822291435,-1,0,other,19-nov,83,23083,Middle-aged (31-50),none
49,admin.,married,primary,169,1,0,cellular,4.418840607796598,-1,0,other,15-may,169,21169,Middle-aged (31-50),none
31,management,single,tertiary,296,0,1,cellular,6.234410725718371,-1,0,other,8-jul,296,28296,Middle-aged (31-50),none
42,admin.,married,secondary,6445,1,0,unknown,3.044522437723423,-1,0,other,2-jun,6445,28445,Middle-aged (31-50),none
29,management,single,tertiary,1273,1,0,cellular,3.8066624897703196,-1,0,other,15-may,1273,29273,Young (18-30),none
34,services,married,secondary,-196,1,1,unknown,2.833213344056216,-1,0,other,26-may,-196,16804,Middle-aged (31-50),none
37,services,single,secondary,1175,1,0,unknown,4.532599493153256,-1,0,other,16-jun,1175,18175,Middle-aged (31-50),none
58,retired,single,tertiary,1411,1,0,cellular,6.054439346269371,-1,0,other,13-may,1411,14411,Senior (51-70),none
27,admin.,single,tertiary,73,0,0,cellular,5.493061443340548,-1,0,other,29-jan,73,23073,Young (18-30),none
39,housemaid,divorced,secondary,127,0,0,unknown,5.017279836814924,-1,0,other,20-jun,127,12127,Middle-aged (31-50),none
27,admin.,single,secondary,276,1,0,unknown,5.7430031878094825,-1,0,other,19-may,276,22276,Young (18-30),none
31,management,single,tertiary,453,1,0,unknown,4.07753744390572,-1,0,other,30-may,453,28453,Middle-aged (31-50),none
40,admin.,single,tertiary,27,0,0,cellular,6.148468295917647,-1,0,other,20-aug,27,23027,Middle-aged (31-50),none
41,technician,single,secondary,0,0,0,unknown,5.438079308923196,-1,0,other,9-jun,0,22000,Middle-aged (31-50),none
50,admin.,married,secondary,335,1,0,cellular,5.117993812416755,-1,0,other,20-apr,335,22335,Middle-aged (31-50),none
41,blue-collar,married,secondary,1954,0,0,cellular,4.189654742026425,110,2,success,18-nov,5862,18954,Middle-aged (31-50),low
37,technician,single,secondary,984,0,0,unknown,6.16541785423142,-1,0,other,17-jun,984,22984,Middle-aged (31-50),none
32,management,married,tertiary,16,0,0,telephone,4.867534450455582,-1,0,other,29-aug,16,28016,Middle-aged (31-50),none
44,admin.,divorced,secondary,776,1,0,unknown,5.017279836814924,-1,0,other,3-jun,776,22776,Middle-aged (31-50),none
37,management,married,tertiary,569,1,0,unknown,4.532599493153256,-1,0,other,30-may,569,28569,Middle-aged (31-50),none
53,blue-collar,married,secondary,380,1,1,cellular,3.7612001156935624,302,1,failure,6-may,760,17380,Senior (51-70),low
31,management,single,tertiary,404,0,0,cellular,4.836281906951478,-1,0,other,27-aug,404,28404,Middle-aged (31-50),none
39,technician,single,secondary,1022,1,0,unknown,7.252053951852814,-1,0,other,20-may,1022,23022,Middle-aged (31-50),none
39,blue-collar,married,secondary,4430,1,0,cellular,2.6390573296152584,362,1,other,18-may,8860,21430,Middle-aged (31-50),low
30,management,married,tertiary,10884,0,0,cellular,5.811140992976701,-1,0,other,4-may,10884,38884,Young (18-30),none
36,management,married,tertiary,51,1,0,cellular,6.142037405587356,-1,0,other,18-nov,51,28051,Middle-aged (31-50),none
29,services,single,secondary,-293,0,1,cellular,5.017279836814924,-1,0,other,10-jul,-293,16707,Young (18-30),none
37,housemaid,married,secondary,942,0,0,unknown,4.382026634673881,-1,0,other,17-jun,942,12942,Middle-aged (31-50),none
39,management,married,tertiary,1041,0,0,cellular,4.762173934797756,-1,0,other,27-aug,1041,29041,Middle-aged (31-50),none
43,blue-collar,married,primary,887,1,0,unknown,5.356586274672012,-1,0,other,14-may,887,16887,Middle-aged (31-50),none
53,technician,divorced,secondary,-63,0,1,cellular,6.2766434893416445,-1,0,other,4-aug,-63,21937,Senior (51-70),none
69,retired,married,primary,154,0,0,cellular,4.976733742420574,-1,0,other,13-jul,154,11154,Senior (51-70),none
33,management,single,tertiary,28,1,0,unknown,5.472270673671475,-1,0,other,21-may,28,28028,Middle-aged (31-50),none
44,management,married,tertiary,1451,1,0,cellular,5.062595033026967,150,12,failure,17-nov,18863,29451,Middle-aged (31-50),high
46,admin.,divorced,secondary,2196,0,0,cellular,6.352629396319567,-1,0,other,28-jul,2196,24196,Middle-aged (31-50),none
42,services,married,secondary,1165,1,0,cellular,6.186208623900494,-1,0,other,18-may,1165,18165,Middle-aged (31-50),none
49,technician,married,tertiary,8422,1,0,cellular,5.117993812416755,-1,0,other,20-nov,8422,31422,Middle-aged (31-50),none
30,entrepreneur,single,secondary,638,0,0,cellular,5.883322388488279,-1,0,other,14-jul,638,22638,Young (18-30),none
28,blue-collar,single,secondary,1285,0,0,telephone,5.298317366548036,2,17,other,30-jan,23130,18285,Young (18-30),high
50,blue-collar,married,primary,383,0,0,telephone,5.948034989180646,-1,0,other,2-oct,383,16383,Middle-aged (31-50),none
54,management,divorced,tertiary,29887,1,0,unknown,6.763884908562435,-1,0,other,16-may,29887,57887,Senior (51-70),none
58,housemaid,divorced,secondary,0,0,0,cellular,6.171700597410915,-1,0,other,2-jul,0,12000,Senior (51-70),none
32,blue-collar,single,secondary,123,1,0,cellular,5.799092654460526,-1,0,other,8-jul,123,17123,Middle-aged (31-50),none
32,services,single,secondary,995,1,0,cellular,4.787491742782046,-1,0,other,26-may,995,17995,Middle-aged (31-50),none
77,retired,married,primary,1492,0,0,telephone,6.498282149476434,208,2,other,1-sep,4476,12492,Elderly (71+),low
58,admin.,divorced,secondary,3337,1,0,telephone,5.91350300563827,690,3,failure,8-oct,13348,25337,Senior (51-70),medium
53,technician,married,secondary,284,0,0,cellular,6.661854740545311,-1,0,other,1-jun,284,22284,Senior (51-70),none
52,management,married,tertiary,1339,1,0,cellular,5.840641657373398,-1,0,other,22-aug,1339,29339,Senior (51-70),none
32,technician,single,secondary,5,0,0,cellular,4.663439094112067,-1,0,other,12-aug,5,22005,Middle-aged (31-50),none
37,blue-collar,single,secondary,111,1,0,cellular,4.110873864173311,272,2,failure,5-feb,333,17111,Middle-aged (31-50),low
32,technician,married,tertiary,3850,1,0,cellular,4.1588830833596715,-1,0,other,20-apr,3850,26850,Middle-aged (31-50),none
26,technician,single,tertiary,252,1,0,cellular,5.236441962829949,-1,0,other,29-jan,252,23252,Young (18-30),none
31,admin.,divorced,secondary,53,1,0,unknown,4.859812404361672,-1,0,other,7-may,53,22053,Middle-aged (31-50),none
59,blue-collar,single,secondary,12270,0,0,cellular,5.198497031265826,-1,0,other,20-nov,12270,29270,Senior (51-70),none
50,entrepreneur,married,tertiary,2198,0,0,unknown,5.14166355650266,-1,0,other,16-jun,2198,25198,Middle-aged (31-50),none
44,admin.,single,secondary,1534,0,0,cellular,4.564348191467836,95,3,success,10-nov,6136,23534,Middle-aged (31-50),medium
38,self-employed,married,secondary,-10,0,0,unknown,4.927253685157205,-1,0,other,2-jun,-10,21990,Middle-aged (31-50),none
27,management,married,secondary,-41,1,0,unknown,3.2188758248682006,-1,0,other,16-may,-41,26959,Young (18-30),none
58,management,married,primary,1052,1,0,cellular,4.997212273764115,359,4,failure,7-may,5260,27052,Senior (51-70),medium
31,technician,single,secondary,0,1,0,cellular,5.099866427824199,370,1,failure,11-may,0,22000,Middle-aged (31-50),low
31,services,single,secondary,124,1,0,unknown,5.043425116919247,-1,0,other,3-jun,124,17124,Middle-aged (31-50),none
61,management,married,tertiary,0,1,1,cellular,5.0689042022202315,115,2,failure,1-apr,0,28000,Senior (51-70),low
35,blue-collar,single,tertiary,573,0,0,unknown,4.762173934797756,-1,0,other,30-may,573,18573,Middle-aged (31-50),none
32,entrepreneur,married,secondary,126,1,1,cellular,6.289715570908998,-1,0,other,23-jul,126,22126,Middle-aged (31-50),none
37,management,married,tertiary,975,1,1,cellular,4.248495242049359,-1,0,other,21-nov,975,28975,Middle-aged (31-50),none
51,unemployed,married,secondary,-267,0,1,unknown,5.342334251964811,-1,0,other,19-jun,-267,6733,Senior (51-70),none
36,admin.,married,secondary,1031,0,0,cellular,5.645446897643238,-1,0,other,17-jun,1031,23031,Middle-aged (31-50),none
37,management,divorced,tertiary,241,1,0,unknown,4.844187086458591,-1,0,other,30-may,241,28241,Middle-aged (31-50),none
35,entrepreneur,divorced,secondary,-69,1,0,unknown,5.707110264748875,-1,0,other,5-may,-69,21931,Middle-aged (31-50),none
33,technician,single,tertiary,6,0,0,cellular,3.4339872044851463,-1,0,other,25-aug,6,23006,Middle-aged (31-50),none
29,blue-collar,married,secondary,975,1,0,unknown,5.583496308781699,-1,0,other,27-may,975,17975,Young (18-30),none
58,services,divorced,secondary,-158,0,0,telephone,2.4849066497880004,-1,0,other,18-jul,-158,16842,Senior (51-70),none
39,management,married,tertiary,1363,0,0,cellular,5.68697535633982,-1,0,other,21-aug,1363,29363,Middle-aged (31-50),none
