age,job,marital,education,balance,housing,loan,contact,duration,pdays,previous,poutcome,contact_date
46,management,married,tertiary,-591,0,0,cellular,126,-1,0,other,9-jul
29,admin.,single,secondary,171,1,0,unknown,83,-1,0,other,11-jun
54,blue-collar,married,primary,1059,0,0,cellular,73,-1,0,other,29-aug
52,admin.,divorced,secondary,363,1,0,cellular,168,462,1,success,21-aug
51,management,divorced,tertiary,311,0,0,telephone,122,-1,0,other,14-aug
33,unemployed,divorced,secondary,385,0,0,telephone,29,-1,0,other,27-aug
43,blue-collar,married,primary,547,0,1,unknown,96,-1,0,other,9-jun
55,blue-collar,married,primary,158,1,0,unknown,176,-1,0,other,15-may
45,blue-collar,married,secondary,3037,0,0,unknown,60,-1,0,other,16-jun
29,management,single,tertiary,600,1,0,cellular,170,-1,0,other,18-oct
43,entrepreneur,married,secondary,1109,1,0,cellular,64,-1,0,other,6-aug
31,technician,single,tertiary,-1,0,0,cellular,117,-1,0,other,21-aug
27,entrepreneur,single,tertiary,0,1,0,unknown,103,-1,0,other,4-jun
47,self-employed,married,secondary,3279,0,0,cellular,189,-1,0,other,21-aug
45,services,married,secondary,0,1,1,unknown,268,-1,0,other,23-may
36,blue-collar,married,secondary,362,1,0,unknown,274,-1,0,other,20-may
53,admin.,married,secondary,614,1,0,unknown,126,-1,0,other,28-may
27,student,single,secondary,2015,0,0,cellular,87,245,1,other,25-jan
46,admin.,married,secondary,368,0,0,cellular,293,90,4,other,20-aug
32,unemployed,married,tertiary,1,0,0,cellular,449,-1,0,other,25-jul
39,services,married,secondary,1205,1,0,unknown,118,-1,0,other,6-may
29,self-employed,married,secondary,-76,1,0,unknown,305,-1,0,other,27-may
53,unemployed,single,secondary,4,0,0,cellular,259,-1,0,other,30-jul
21,blue-collar,single,secondary,1385,1,0,cellular,12,-1,0,other,20-apr
30,management,single,tertiary,398,0,0,cellular,554,6,2,success,30-apr
19,student,single,secondary,372,0,0,telephone,444,-1,0,other,8-jul
42,management,single,tertiary,515,1,0,cellular,501,-1,0,other,19-nov
37,admin.,married,secondary,55,1,1,cellular,99,329,4,other,27-apr
54,housemaid,married,primary,179,0,0,cellular,132,-1,0,other,22-aug
31,blue-collar,married,secondary,873,1,0,unknown,145,-1,0,other,23-may
33,technician,single,secondary,-363,1,0,cellular,214,-1,0,other,18-may
36,technician,single,secondary,0,0,0,cellular,21,-1,0,other,29-aug
34,management,married,secondary,5127,0,1,cellular,559,-1,0,other,10-jul
24,student,single,tertiary,235,0,0,cellular,98,92,1,success,9-feb
32,management,single,tertiary,-252,1,0,cellular,250,-1,0,other,15-may
37,technician,married,secondary,448,0,0,cellular,86,-1,0,other,14-aug
48,retired,single,primary,0,0,0,unknown,9,-1,0,other,20-jun
29,self-employed,single,tertiary,805,0,0,cellular,132,103,7,failure,23-feb
22,student,single,secondary,252,1,0,cellular,206,-1,0,other,7-may
31,management,married,tertiary,-181,1,0,cellular,127,170,2,failure,8-may
32,blue-collar,single,secondary,574,1,0,cellular,51,-1,0,other,15-may
33,technician,married,secondary,168,1,0,unknown,238,-1,0,other,26-may
45,blue-collar,married,primary,5461,1,0,cellular,841,-1,0,other,20-nov
51,services,married,secondary,121,1,0,cellular,122,-1,0,other,10-jul
59,management,divorced,tertiary,0,0,0,telephone,196,-1,0,other,30-jul
30,services,married,secondary,384,1,0,unknown,27,-1,0,other,16-jun
31,blue-collar,married,secondary,2289,1,1,cellular,79,151,1,failure,20-apr
31,management,married,tertiary,315,0,0,cellular,109,-1,0,other,29-aug
33,admin.,single,secondary,901,0,0,cellular,18,6,3,other,3-feb
27,student,single,secondary,81,1,0,unknown,238,-1,0,other,8-may
43,management,married,tertiary,15423,1,1,cellular,170,-1,0,other,21-nov
43,blue-collar,married,secondary,1335,1,0,unknown,371,-1,0,other,6-may
32,management,single,tertiary,6542,1,0,cellular,1598,175,5,failure,15-may
36,blue-collar,married,primary,0,1,0,cellular,8,-1,0,other,18-may
75,retired,married,tertiary,4912,0,0,telephone,238,183,5,failure,20-oct
40,admin.,married,secondary,35,0,0,unknown,78,-1,0,other,17-jun
56,technician,married,secondary,124,1,0,cellular,341,-1,0,other,28-jul
31,blue-collar,married,secondary,-110,1,0,unknown,440,-1,0,other,26-may
42,blue-collar,divorced,primary,145,0,1,unknown,27,-1,0,other,30-jun
54,self-employed,married,secondary,2191,1,0,telephone,96,-1,0,other,31-jul
73,retired,married,primary,508,0,0,cellular,176,-1,0,other,9-mar
77,retired,married,tertiary,0,0,0,cellular,847,60,1,success,16-oct
34,blue-collar,married,primary,109,1,0,cellular,685,-1,0,other,14-may
44,technician,married,secondary,267,0,0,cellular,520,-1,0,other,22-aug
33,technician,single,tertiary,989,1,1,unknown,232,-1,0,other,13-may
33,management,single,tertiary,432,0,0,telephone,588,-1,0,other,20-aug
45,technician,married,secondary,1786,1,1,telephone,78,-1,0,other,15-jul
30,services,single,secondary,248,1,0,cellular,87,-1,0,other,13-may
41,management,married,tertiary,217,0,0,cellular,328,-1,0,other,19-nov
57,blue-collar,married,secondary,4597,1,0,cellular,170,-1,0,other,14-aug
38,entrepreneur,married,tertiary,83,1,0,cellular,108,-1,0,other,19-nov
49,admin.,married,primary,169,1,0,cellular,82,-1,0,other,15-may
31,management,single,tertiary,296,0,1,cellular,509,-1,0,other,8-jul
42,admin.,married,secondary,6445,1,0,unknown,20,-1,0,other,2-jun
29,management,single,tertiary,1273,1,0,cellular,44,-1,0,other,15-may
34,services,married,secondary,-196,1,1,unknown,16,-1,0,other,26-may
37,services,single,secondary,1175,1,0,unknown,92,-1,0,other,16-jun
58,retired,single,tertiary,1411,1,0,cellular,425,-1,0,other,13-may
27,admin.,single,tertiary,73,0,0,cellular,242,-1,0,other,29-jan
39,housemaid,divorced,secondary,127,0,0,unknown,150,-1,0,other,20-jun
27,admin.,single,secondary,276,1,0,unknown,311,-1,0,other,19-may
31,management,single,tertiary,453,1,0,unknown,58,-1,0,other,30-may
40,admin.,single,tertiary,27,0,0,cellular,467,-1,0,other,20-aug
41,technician,single,secondary,0,0,0,unknown,229,-1,0,other,9-jun
50,admin.,married,secondary,335,1,0,cellular,166,-1,0,other,20-apr
41,blue-collar,married,secondary,1954,0,0,cellular,65,110,2,success,18-nov
37,technician,single,secondary,984,0,0,unknown,475,-1,0,other,17-jun
32,management,married,tertiary,16,0,0,telephone,129,-1,0,other,29-aug
44,admin.,divorced,secondary,776,1,0,unknown,150,-1,0,other,3-jun
37,management,married,tertiary,569,1,0,unknown,92,-1,0,other,30-may
53,blue-collar,married,secondary,380,1,1,cellular,42,302,1,failure,6-may
31,management,single,tertiary,404,0,0,cellular,125,-1,0,other,27-aug
39,technician,single,secondary,1022,1,0,unknown,1410,-1,0,other,20-may
39,blue-collar,married,secondary,4430,1,0,cellular,13,362,1,other,18-may
30,management,married,tertiary,10884,0,0,cellular,333,-1,0,other,4-may
36,management,married,tertiary,51,1,0,cellular,464,-1,0,other,18-nov
29,services,single,secondary,-293,0,1,cellular,150,-1,0,other,10-jul
37,housemaid,married,secondary,942,0,0,unknown,79,-1,0,other,17-jun
39,management,married,tertiary,1041,0,0,cellular,116,-1,0,other,27-aug
43,blue-collar,married,primary,887,1,0,unknown,211,-1,0,other,14-may
53,technician,divorced,secondary,-63,0,1,cellular,531,-1,0,other,4-aug
69,retired,married,primary,154,0,0,cellular,144,-1,0,other,13-jul
33,management,single,tertiary,28,1,0,unknown,237,-1,0,other,21-may
44,management,married,tertiary,1451,1,0,cellular,157,150,12,failure,17-nov
46,admin.,divorced,secondary,2196,0,0,cellular,573,-1,0,other,28-jul
42,services,married,secondary,1165,1,0,cellular,485,-1,0,other,18-may
49,technician,married,tertiary,8422,1,0,cellular,166,-1,0,other,20-nov
30,entrepreneur,single,secondary,638,0,0,cellular,358,-1,0,other,14-jul
28,blue-collar,single,secondary,1285,0,0,telephone,199,2,17,other,30-jan
50,blue-collar,married,primary,383,0,0,telephone,382,-1,0,other,2-oct
54,management,divorced,tertiary,29887,1,0,unknown,865,-1,0,other,16-may
58,housemaid,divorced,secondary,0,0,0,cellular,478,-1,0,other,2-jul
32,blue-collar,single,secondary,123,1,0,cellular,329,-1,0,other,8-jul
32,services,single,secondary,995,1,0,cellular,119,-1,0,other,26-may
77,retired,married,primary,1492,0,0,telephone,663,208,2,other,1-sep
58,admin.,divorced,secondary,3337,1,0,telephone,369,690,3,failure,8-oct
53,technician,married,secondary,284,0,0,cellular,781,-1,0,other,1-jun
52,management,married,tertiary,1339,1,0,cellular,343,-1,0,other,22-aug
32,technician,single,secondary,5,0,0,cellular,105,-1,0,other,12-aug
37,blue-collar,single,secondary,111,1,0,cellular,60,272,2,failure,5-feb
32,technician,married,tertiary,3850,1,0,cellular,63,-1,0,other,20-apr
26,technician,single,tertiary,252,1,0,cellular,187,-1,0,other,29-jan
31,admin.,divorced,secondary,53,1,0,unknown,128,-1,0,other,7-may
59,blue-collar,single,secondary,12270,0,0,cellular,180,-1,0,other,20-nov
50,entrepreneur,married,tertiary,2198,0,0,unknown,170,-1,0,other,16-jun
44,admin.,single,secondary,1534,0,0,cellular,95,95,3,success,10-nov
38,self-employed,married,secondary,-10,0,0,unknown,137,-1,0,other,2-jun
27,management,married,secondary,-41,1,0,unknown,24,-1,0,other,16-may
58,management,married,primary,1052,1,0,cellular,147,359,4,failure,7-may
31,technician,single,secondary,0,1,0,cellular,163,370,1,failure,11-may
31,services,single,secondary,124,1,0,unknown,154,-1,0,other,3-jun
61,management,married,tertiary,0,1,1,cellular,158,115,2,failure,1-apr
35,blue-collar,single,tertiary,573,0,0,unknown,116,-1,0,other,30-may
32,entrepreneur,married,secondary,126,1,1,cellular,538,-1,0,other,23-jul
37,management,married,tertiary,975,1,1,cellular,69,-1,0,other,21-nov
51,unemployed,married,secondary,-267,0,1,unknown,208,-1,0,other,19-jun
36,admin.,married,secondary,1031,0,0,cellular,282,-1,0,other,17-jun
37,management,divorced,tertiary,241,1,0,unknown,126,-1,0,other,30-may
35,entrepreneur,divorced,secondary,-69,1,0,unknown,300,-1,0,other,5-may
33,technician,single,tertiary,6,0,0,cellular,30,-1,0,other,25-aug
29,blue-collar,married,secondary,975,1,0,unknown,265,-1,0,other,27-may
58,services,divorced,secondary,-158,0,0,telephone,11,-1,0,other,18-jul
39,management,married,tertiary,1363,0,0,cellular,294,-1,0,other,21-aug
32,management,married,tertiary,92,0,0,unknown,116,-1,0,other,3-jul
38,self-employed,single,secondary,592,0,0,cellular,275,-1,0,other,6-may
30,self-employed,married,tertiary,543,1,1,unknown,1449,-1,0,other,4-jun
36,admin.,married,tertiary,1145,1,0,cellular,198,181,3,failure,29-mar
34,blue-collar,married,secondary,-257,1,0,cellular,160,368,4,failure,15-may
33,management,single,tertiary,437,1,0,cellular,199,150,5,failure,20-apr
54,blue-collar,married,secondary,537,0,0,cellular,226,-1,0,other,4-aug
46,blue-collar,married,primary,776,0,1,telephone,76,-1,0,other,11-jul
48,management,married,tertiary,2266,0,0,cellular,676,-1,0,other,18-nov
21,student,single,primary,1596,0,0,cellular,101,-1,0,other,25-may
42,blue-collar,married,primary,832,0,0,unknown,13,-1,0,other,20-jun
40,admin.,single,secondary,1670,1,0,unknown,161,-1,0,other,18-jun
57,blue-collar,married,secondary,-353,0,1,unknown,26,-1,0,other,29-may
22,services,married,secondary,817,1,0,cellular,128,-1,0,other,18-may
35,services,married,secondary,629,0,1,cellular,518,-1,0,other,8-jul
27,services,single,secondary,2457,1,0,unknown,123,-1,0,other,29-may
44,management,married,tertiary,-84,1,0,cellular,159,-1,0,other,27-aug
50,management,married,tertiary,1158,1,0,unknown,150,-1,0,other,30-may
38,blue-collar,married,secondary,395,1,0,cellular,83,367,2,failure,8-may
33,blue-collar,married,secondary,2254,1,0,cellular,130,148,1,failure,17-apr
59,management,married,secondary,0,0,1,cellular,60,-1,0,other,10-jul
45,services,single,secondary,303,1,0,cellular,110,-1,0,other,20-apr
30,services,married,secondary,475,0,0,cellular,192,-1,0,other,22-aug
41,services,married,secondary,171,0,0,cellular,71,-1,0,other,21-jul
34,blue-collar,married,secondary,0,1,0,unknown,780,-1,0,other,30-jun
28,blue-collar,married,secondary,723,1,1,unknown,262,-1,0,other,5-may
31,technician,married,tertiary,0,0,0,cellular,70,-1,0,other,29-aug
50,admin.,single,primary,181,1,0,cellular,119,372,3,failure,15-may
33,blue-collar,married,primary,716,1,0,unknown,83,-1,0,other,7-may
44,management,married,tertiary,119,1,0,cellular,67,-1,0,other,10-jul
57,technician,divorced,secondary,285,0,0,cellular,348,-1,0,other,4-feb
33,entrepreneur,married,secondary,-118,1,1,unknown,421,-1,0,other,27-may
30,self-employed,single,tertiary,0,1,0,cellular,57,301,1,failure,5-may
50,management,married,tertiary,0,0,0,cellular,199,205,1,failure,30-jan
47,management,married,tertiary,288,0,0,cellular,101,-1,0,other,1-oct
43,blue-collar,married,primary,985,1,0,cellular,35,-1,0,other,16-apr
60,management,single,tertiary,2190,0,0,cellular,601,-1,0,other,11-aug
33,management,single,tertiary,-149,1,0,cellular,383,-1,0,other,22-jul
34,management,married,tertiary,158,0,0,cellular,278,132,4,failure,9-sep
43,management,married,tertiary,657,0,0,unknown,367,-1,0,other,18-jun
55,retired,married,secondary,85,0,0,unknown,228,-1,0,other,3-jul
47,self-employed,married,secondary,2,0,0,cellular,236,-1,0,other,5-feb
47,admin.,married,secondary,1358,1,0,cellular,80,-1,0,other,14-may
25,technician,single,tertiary,160,0,1,unknown,151,-1,0,other,13-jul
58,technician,married,secondary,3399,0,0,telephone,1628,188,8,success,30-nov
31,technician,single,secondary,391,0,0,cellular,336,-1,0,other,13-aug
29,blue-collar,married,secondary,723,0,1,cellular,235,-1,0,other,17-jul
34,management,single,tertiary,178,1,0,cellular,14,-1,0,other,15-may
53,admin.,married,secondary,1739,1,0,unknown,103,-1,0,other,15-may
34,management,single,tertiary,6707,1,0,cellular,16,154,4,other,20-apr
30,management,single,tertiary,47,0,1,cellular,11,-1,0,other,31-jul
36,admin.,single,secondary,1281,0,0,telephone,119,-1,0,other,24-jul
45,blue-collar,married,primary,85,1,0,unknown,162,-1,0,other,8-may
33,blue-collar,married,secondary,983,0,0,unknown,9,-1,0,other,8-sep
48,blue-collar,married,primary,551,1,1,unknown,386,-1,0,other,18-jun
34,management,single,secondary,516,1,0,cellular,292,-1,0,other,28-jul
32,management,divorced,tertiary,530,1,0,cellular,131,127,3,failure,29-jan
45,management,married,tertiary,126,1,0,cellular,92,342,1,failure,20-apr
32,management,married,tertiary,210,0,0,cellular,121,-1,0,other,14-jul
37,self-employed,married,tertiary,865,1,1,cellular,332,-1,0,other,9-jul
47,blue-collar,married,primary,2269,1,0,cellular,132,279,2,failure,18-may
48,unemployed,married,secondary,11371,1,0,cellular,109,-1,0,other,3-feb
34,services,married,secondary,1182,1,0,unknown,124,-1,0,other,28-may
32,blue-collar,married,primary,50,1,0,cellular,275,370,2,failure,13-may
48,blue-collar,married,secondary,741,1,0,cellular,227,-1,0,other,16-apr
40,management,divorced,tertiary,49,0,0,cellular,249,-1,0,other,6-feb
33,technician,single,tertiary,154,0,0,cellular,159,-1,0,other,18-mar
46,blue-collar,married,primary,-287,1,0,unknown,113,-1,0,other,30-may
35,management,married,secondary,2415,1,1,cellular,348,-1,0,other,16-apr
34,admin.,single,tertiary,2045,0,0,cellular,146,-1,0,other,29-jan
37,management,married,tertiary,865,1,0,cellular,101,-1,0,other,3-jun
57,technician,divorced,secondary,910,1,0,unknown,183,-1,0,other,3-jun
58,unemployed,married,secondary,68,0,0,cellular,169,-1,0,other,26-may
47,blue-collar,married,secondary,0,1,0,cellular,676,-1,0,other,21-jul
37,technician,married,tertiary,16,1,1,unknown,153,-1,0,other,7-may
52,technician,divorced,secondary,1161,1,0,unknown,271,-1,0,other,13-may
34,services,divorced,secondary,27,1,0,cellular,192,-1,0,other,6-may
56,management,married,tertiary,4889,0,0,cellular,705,-1,0,other,22-aug
45,technician,married,tertiary,1780,0,0,unknown,464,-1,0,other,9-jun
44,management,married,secondary,3286,1,0,cellular,569,-1,0,other,18-jul
30,admin.,married,primary,624,1,0,cellular,212,368,1,failure,15-may
52,unemployed,married,secondary,-9,0,0,unknown,123,-1,0,other,9-jun
75,retired,divorced,primary,18,0,0,cellular,222,-1,0,other,24-apr
43,admin.,divorced,secondary,57,0,0,unknown,46,-1,0,other,11-jun
51,unemployed,divorced,primary,2244,0,0,telephone,360,-1,0,other,28-jan
38,management,married,tertiary,2656,0,0,cellular,230,-1,0,other,8-jul
26,management,single,tertiary,1274,1,0,cellular,190,84,1,failure,1-jun
58,technician,married,secondary,7554,0,0,telephone,167,469,1,success,9-feb
46,management,married,tertiary,-267,0,0,unknown,249,-1,0,other,23-may
25,services,married,secondary,-282,1,1,cellular,198,-1,0,other,25-jul
56,retired,married,secondary,0,0,1,cellular,110,-1,0,other,7-aug
38,services,married,secondary,823,1,0,unknown,132,-1,0,other,3-jun
41,blue-collar,married,primary,178,1,0,unknown,5,791,1,failure,20-jul
29,admin.,married,secondary,445,1,0,unknown,489,-1,0,other,28-may
45,management,married,tertiary,1847,0,0,unknown,77,-1,0,other,16-jun
34,admin.,single,secondary,303,0,0,cellular,94,200,6,success,21-dec
37,services,divorced,secondary,135,0,0,cellular,460,-1,0,other,10-jul
39,admin.,married,secondary,145,1,1,cellular,337,330,6,other,13-may
47,services,married,secondary,505,0,0,unknown,152,-1,0,other,20-jun
51,blue-collar,married,secondary,717,0,0,cellular,141,-1,0,other,5-aug
32,management,married,tertiary,3651,1,0,cellular,142,-1,0,other,20-nov
49,entrepreneur,married,tertiary,9824,0,0,unknown,69,-1,0,other,5-jun
34,services,single,secondary,16,1,0,cellular,340,-1,0,other,20-nov
50,services,married,secondary,753,0,0,unknown,59,-1,0,other,18-jun
47,management,married,tertiary,1105,0,0,unknown,180,-1,0,other,20-jun
44,blue-collar,married,secondary,-674,1,0,unknown,257,-1,0,other,5-may
26,technician,single,tertiary,3628,0,0,cellular,151,-1,0,other,5-may
37,management,married,tertiary,58,1,0,unknown,98,-1,0,other,5-may
25,admin.,single,tertiary,1141,1,0,cellular,718,347,1,failure,5-may
42,admin.,single,tertiary,3465,1,0,unknown,373,-1,0,other,23-may
45,housemaid,married,primary,0,0,0,cellular,195,-1,0,other,14-aug
57,technician,married,tertiary,1181,0,0,cellular,169,182,2,success,29-jul
57,technician,divorced,secondary,204,0,0,unknown,97,-1,0,other,6-jun
25,student,single,secondary,2975,0,0,cellular,799,-1,0,other,2-sep
45,unemployed,divorced,secondary,5163,0,0,unknown,9,-1,0,other,20-jun
39,entrepreneur,married,secondary,0,0,0,cellular,528,-1,0,other,16-jul
59,admin.,married,secondary,373,1,1,cellular,362,-1,0,other,28-jul
38,blue-collar,married,secondary,-390,1,0,unknown,287,-1,0,other,5-may
48,technician,married,secondary,0,1,1,unknown,964,-1,0,other,15-may
54,retired,single,primary,466,0,0,cellular,151,-1,0,other,5-jun
28,blue-collar,single,secondary,975,1,0,unknown,59,-1,0,other,18-jun
55,management,married,tertiary,39098,0,0,cellular,236,-1,0,other,27-may
63,retired,married,secondary,0,0,0,telephone,73,-1,0,other,7-oct
32,admin.,divorced,secondary,-18,1,0,unknown,155,-1,0,other,12-may
55,blue-collar,married,primary,3485,0,0,cellular,625,-1,0,other,18-aug
40,management,married,tertiary,342,1,0,cellular,133,-1,0,other,13-may
58,blue-collar,married,secondary,1626,0,0,cellular,391,-1,0,other,20-aug
34,services,single,secondary,194,1,1,cellular,149,268,2,other,15-apr
47,technician,married,secondary,-401,1,0,unknown,78,-1,0,other,23-may
55,admin.,married,secondary,139,1,0,unknown,26,-1,0,other,30-may
49,management,married,tertiary,5969,0,0,cellular,258,-1,0,other,30-jul
41,technician,single,tertiary,5365,1,0,cellular,412,-1,0,other,7-may
31,blue-collar,married,primary,81,1,0,unknown,245,-1,0,other,13-may
39,technician,married,secondary,211,0,0,telephone,53,-1,0,other,6-feb
33,technician,married,tertiary,8023,0,0,cellular,107,105,3,failure,30-nov
35,technician,single,tertiary,992,1,0,telephone,1416,170,4,failure,12-feb
33,management,single,tertiary,-67,1,0,unknown,364,-1,0,other,5-may
32,management,married,tertiary,3158,0,1,cellular,142,-1,0,other,5-aug
31,management,single,secondary,453,1,0,unknown,384,-1,0,other,9-may
31,technician,single,tertiary,208,0,0,cellular,1344,-1,0,other,12-aug
43,housemaid,married,primary,94,0,0,cellular,35,-1,0,other,23-jul
40,blue-collar,married,primary,328,1,0,cellular,112,-1,0,other,13-may
29,management,married,tertiary,900,0,0,cellular,275,-1,0,other,17-jul
29,admin.,single,secondary,468,1,1,unknown,353,-1,0,other,23-may
31,entrepreneur,single,secondary,0,1,0,cellular,56,176,1,failure,15-may
33,technician,single,tertiary,127,1,0,cellular,583,222,17,failure,6-apr
49,technician,married,secondary,2718,0,0,unknown,114,-1,0,other,19-may
51,technician,married,tertiary,0,0,0,cellular,662,66,2,success,7-may
50,housemaid,married,secondary,0,1,0,cellular,160,-1,0,other,22-jul
21,student,single,secondary,215,0,0,cellular,382,89,7,success,24-may
51,blue-collar,married,primary,7098,0,0,cellular,1471,-1,0,other,6-aug
41,blue-collar,married,secondary,2152,1,0,cellular,369,-1,0,other,17-nov
55,management,married,primary,113,0,0,cellular,306,457,3,failure,12-aug
